City/Town,Ward,Pct,"Mary Barrosse-Schwartz",Write-Ins,Blanks,"Total Votes Cast"
,,,
Danby,,,38,4,13,55
Dorset,,,87,33,6,126
Landgrove,,,11,0,2,13
"Mount Tabor",,,6,0,1,7
Peru,,,16,7,2,25
TOTALS,,,158,44,24,226
