City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Ludlow,,,-,1,20,21
"Mount Holly",,,-,2,29,31
Shrewsbury,,,-,4,45,49
TOTALS,,,-,7,94,101
