City/Town,Ward,Pct,"Ann Manwaring",Write-Ins,Blanks,"Total Votes Cast"
,,,
Halifax,,,19,1,7,27
Whitingham,,,26,2,12,40
Wilmington,,,33,1,3,37
TOTALS,,,78,4,22,104
