City/Town,Ward,Pct,"Steve Beyor","Albert Pearce",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Berkshire,,,29,32,0,11,72
Franklin,,,36,34,10,26,106
Highgate,,,73,62,2,37,174
Richford,,,21,29,1,17,68
TOTALS,,,159,157,13,91,420
