City/Town,Ward,Pct,"Dean Corren",Write-Ins,Blanks,"Total Votes Cast"
Shelburne,-,"Chittenden 5-1",5,0,1,6
Shelburne,-,"Chittenden 5-2",1,0,0,1
Sheldon,,,2,1,0,3
Shoreham,,,1,0,1,2
"S. Burlington",-,"Chittenden 7-1",0,0,0,0
"S. Burlington",-,"Chittenden 7-2",2,0,0,2
"S. Burlington",-,"Chittenden 7-3",2,0,0,2
"S. Burlington",-,"Chittenden 7-4",1,0,1,2
"S. Hero",,,0,0,1,1
Springfield,-,"Windsor 3-1",0,0,0,0
Springfield,-,"Windsor 3-2",2,0,0,2
"St. Albans City",,,2,0,0,2
"St. Albans Town",-,"Franklin 3-1",1,0,0,1
"St. Albans Town",-,"Franklin 3-2",1,0,2,3
"St. Johnsbury",,,2,0,0,2
Strafford,,,0,0,1,1
Swanton,,,1,0,0,1
Thetford,,,1,0,1,2
Troy,-,"Orleans 2",2,0,0,2
Troy,-,Orleans-Lamoille,2,0,0,2
Underhill,,,1,0,0,1
Vernon,,,1,0,0,1
Vershire,,,1,0,0,1
Waitsfield,,,1,0,0,1
Walden,,,0,0,1,1
Washington,,,2,0,2,4
Waterbury,,,0,0,1,1
Waterville,,,1,0,0,1
Weathersfield,,,6,1,1,8
"W. Haven",,,0,0,1,1
Westminster,-,"Windham 3",0,0,0,0
Westminster,-,"Windham 4",1,1,0,2
Weston,,,1,0,1,2
Weybridge,,,1,0,0,1
Whiting,,,0,1,0,1
Williamstown,,,1,0,0,1
Williston,,,2,0,0,2
Wilmington,,,2,0,0,2
Windham,,,0,0,1,1
Winhall,,,0,2,0,2
Winooski,,,3,0,1,4
Woodbury,,,1,0,0,1
Woodstock,,,2,0,0,2
TOTALS,,,284,17,77,378
