City/Town,Ward,Pct,"William H. Sorrell","H. Brooke Paige",Write-Ins,Blanks,"Total Votes Cast"
Springfield,-,"Windsor 3-2",83,23,0,13,119
"St. Albans City",,,132,27,1,11,171
"St. Albans Town",-,"Franklin 3-1",27,9,0,4,40
"St. Albans Town",-,"Franklin 3-2",86,16,0,8,110
"St. George",,,6,0,0,0,6
"St. Johnsbury",,,64,25,0,11,100
Stamford,,,9,4,0,5,18
Stannard,,,12,7,0,8,27
Starksboro,,,28,5,0,4,37
Stockbridge,,,6,1,0,1,8
Stowe,,,53,15,0,19,87
Strafford,,,130,47,1,43,221
Stratton,,,2,1,0,4,7
Sudbury,,,6,1,0,1,8
Sunderland,-,"Bennington 3",5,1,0,1,7
Sunderland,-,"Bennington 4",4,1,0,1,6
Sutton,,,7,0,0,0,7
Swanton,,,56,11,1,8,76
Thetford,,,346,108,1,147,602
Tinmouth,-,"Rutland 2",4,0,0,0,4
Tinmouth,-,Rutland-Bennington,13,3,0,0,16
Topsham,,,3,2,0,1,6
Townshend,,,67,22,0,36,125
Troy,-,"Orleans 2",2,0,0,0,2
Troy,-,Orleans-Lamoille,11,3,0,3,17
Tunbridge,,,21,7,1,5,34
Underhill,,,67,16,1,8,92
Vergennes,,,28,9,0,2,39
Vernon,,,34,17,0,18,69
Vershire,,,14,7,0,6,27
Victory,,,1,0,0,0,1
Waitsfield,,,82,13,0,16,111
Walden,,,10,5,0,7,22
Wallingford,,,31,8,0,8,47
Waltham,,,8,0,0,0,8
Wardsboro,,,21,7,2,4,34
Warren,,,22,11,0,8,41
Washington,,,11,5,2,2,20
Waterbury,,,60,11,0,6,77
Waterford,,,8,4,0,2,14
Waterville,,,15,0,1,3,19
Weathersfield,,,214,81,1,47,343
Wells,,,15,6,0,3,24
"W. Fairlee",,,7,5,0,2,14
"W. Haven",,,10,3,1,3,17
"W. Rutland",,,11,5,0,4,20
"W. Windsor",,,21,4,0,1,26
Westfield,,,9,7,2,2,20
Westford,,,42,1,0,11,54
Westminster,-,"Windham 3",6,0,0,2,8
Westminster,-,"Windham 4",217,43,1,52,313
Westmore,,,5,1,0,0,6
Weston,,,15,7,0,1,23
Weybridge,,,34,4,0,2,40
Wheelock,,,9,3,0,1,13
Whiting,,,12,2,0,2,16
Whitingham,-,"Windham 6",24,9,0,7,40
Whitingham,-,Windham-Bennington,1,0,0,0,1
Williamstown,,,33,12,0,3,48
