City/Town,Ward,Pct,"Maxine Grad",Write-Ins,Blanks,"Total Votes Cast"
,,,
Duxbury,,,16,0,30,46
Fayston,,,22,2,26,50
Moretown,,,24,7,29,60
Waitsfield,,,95,8,119,222
Warren,,,36,4,42,82
TOTALS,,,193,21,246,460
