City/Town,Ward,Pct,"Peg Flory","Kevin J. Mullin","Brian P. Collamore",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Benson,-,Addison-Rutland,19,17,13,0,23,0
Brandon,-,"Rutland 6",275,186,165,2,551,0
Castleton,-,"Rutland 3",127,129,116,3,153,0
Chittenden,-,"Rutland-Windsor 1",34,32,28,2,39,0
Clarendon,-,"Rutland 2",37,33,33,3,41,0
Danby,-,Bennington-Rutland,36,42,32,1,42,0
"Fair Haven",-,"Rutland 3",84,80,84,3,124,0
Hubbardton,-,"Rutland 3",23,21,20,0,17,0
Ira,-,"Rutland 1",6,6,5,0,10,0
Killington,-,"Rutland-Windsor 1",21,28,17,1,32,0
Mendon,-,"Rutland-Windsor 1",31,34,34,0,51,0
"Middletown Springs",-,Rutland-Bennington,34,36,28,0,55,0
"Mount Tabor",-,Bennington-Rutland,7,11,7,0,11,0
Pawlet,-,Rutland-Bennington,63,67,53,4,218,0
Pittsfield,-,Windsor-Rutland,11,11,8,0,15,0
Pittsford,-,"Rutland 6",72,54,58,2,51,0
Poultney,-,"Rutland 1",42,49,39,2,66,0
Proctor,-,"Rutland 2",11,9,11,2,12,0
"Rutland City",-,"Rutland 5-1",82,72,81,9,86,330
"Rutland City",-,"Rutland 5-2",70,65,73,8,84,300
"Rutland City",-,"Rutland 5-3",29,27,28,0,36,120
"Rutland City",-,"Rutland 5-4",52,56,58,5,45,216
"Rutland Town",-,"Rutland 4",126,138,133,8,108,0
Shrewsbury,-,"Rutland-Windsor 2",26,26,31,1,51,0
Sudbury,-,"Rutland 6",6,5,6,0,13,0
Tinmouth,-,"Rutland 2",0,0,0,0,0,0
Tinmouth,-,Rutland-Bennington,11,10,8,0,13,42
Wallingford,-,"Rutland 2",22,24,20,3,33,0
Wells,-,Rutland-Bennington,38,40,28,0,107,0
"W. Haven",-,"Rutland 3",30,28,27,2,45,0
"W. Rutland",-,"Rutland 2",44,36,46,0,33,0
TOTALS,,,"1,469","1,372","1,290",61,"2,165","6,357"
