City/Town,Ward,Pct,"Diana Gonzalez","Clement J. Bissonnette","Kenneth W. Atkins",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Burlington,,,5,3,0,1,3,12
Winooski,,,267,227,198,110,142,944
TOTALS,,,272,230,198,111,145,956
