City/Town,Ward,Pct,"Charles Shaw",Write-Ins,Blanks,"Total Votes Cast"
,,,
Brandon,,,315,22,449,786
Pittsford,,,71,6,81,158
Sudbury,,,6,0,14,20
TOTALS,,,392,28,544,964
