City/Town,Ward,Pct,"Corey Parent","Claude Bouchard",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"St. Albans City",,,140,86,19,77,322
"St. Albans Town",,,81,50,6,55,192
TOTALS,,,221,136,25,132,514
