City/Town,Ward,Pct,"Tim Briglin","Jim Masland","Irv Thomae","Jill Michaels",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,
Norwich,,,490,419,440,141,0,137,"1,627"
Sharon,,,75,82,26,44,0,13,240
Strafford,,,157,152,42,68,0,23,442
Thetford,,,454,441,93,144,1,69,"1,202"
TOTALS,,,"1,176","1,094",601,397,1,242,"3,511"
