City/Town,Ward,Pct,"Carl B. Davis",Write-Ins,Blanks,"Total Votes Cast"
,,,
Coventry,,,2,2,0,4
Irasburg,,,2,0,2,4
"Newport City",,,7,5,2,14
"Newport Town",,,1,1,0,2
Troy,,,2,1,1,4
TOTALS,,,14,9,5,28
