City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Burlington,-,"Chittenden 6-1",-,2,40,42
Burlington,-,"Chittenden 6-2",-,23,43,66
Burlington,-,"Chittenden 6-3",-,45,123,168
Burlington,-,"Chittenden 6-4",-,17,73,90
Burlington,-,"Chittenden 6-5",-,11,25,36
Burlington,-,"Chittenden 6-6",-,5,13,18
Burlington,-,"Chittenden 6-7",-,0,0,0
Charlotte,-,"Chittenden 4-1",-,0,6,0
Essex,-,"Chittenden 8-1",-,0,6,6
Essex,-,"Chittenden 8-2",-,0,0,0
Essex,-,"Chittenden 8-3",-,0,0,0
Hinesburg,-,"Chittenden 4-1",-,0,0,0
Hinesburg,-,"Chittenden 4-2",-,5,7,12
Jericho,-,"Chittenden 3",-,0,12,0
Shelburne,-,"Chittenden 5-1",-,7,29,36
Shelburne,-,"Chittenden 5-2",-,6,0,6
"S. Burlington",-,"Chittenden 7-1",-,0,0,0
"S. Burlington",-,"Chittenden 7-2",-,3,9,12
"S. Burlington",-,"Chittenden 7-3",-,1,11,12
"S. Burlington",-,"Chittenden 7-4",-,0,12,12
Underhill,-,"Chittenden 3",-,2,4,0
Williston,-,"Chittenden 2",-,4,8,0
Winooski,-,"Chittenden 6-7",-,7,17,0
TOTALS,,,-,138,438,576
