City/Town,Ward,Pct,"Robert C. Frenier",Write-Ins,Blanks,"Total Votes Cast"
,,,
Braintree,-,Orange-Washington-Addison,28,2,5,0
Brookfield,-,Orange-Washington-Addison,33,2,0,0
Chelsea,-,"Orange 1",46,1,6,0
Corinth,-,"Orange 1",19,0,9,0
Randolph,-,Orange-Washington-Addison,112,2,17,0
Strafford,-,"Windsor-Orange 2",20,0,1,0
Thetford,-,"Windsor-Orange 2",36,2,12,0
Tunbridge,-,"Windsor-Orange 1",37,3,9,0
Vershire,-,"Orange 1",8,0,2,0
Washington,-,"Orange 1",44,0,16,0
Williamstown,-,"Orange 1",46,7,21,0
TOTALS,,,429,19,98,546
