City/Town,Ward,Pct,"Cynthia Browning","Steve Berry",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,38,25,2,21,86
Manchester,,,55,64,7,41,167
Sandgate,,,17,12,0,13,42
Sunderland,,,4,3,0,5,12
TOTALS,,,114,104,9,80,307
