City/Town,Ward,Pct,"Jason Moquin",Write-Ins,Blanks,"Total Votes Cast"
,,,
Alburgh,,,68,17,115,200
"Grand Isle",,,88,18,114,220
"Isle La Motte",,,18,2,30,50
Milton,,,45,1,72,118
"N. Hero",,,40,9,89,138
"S. Hero",,,46,11,75,132
TOTALS,,,305,58,495,858
