City/Town,Ward,Pct,"Diane Lanpher","John B. Spencer",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,30,30,3,13,76
Ferrisburgh,,,33,29,2,24,88
Panton,,,15,12,2,5,34
Vergennes,,,31,31,0,16,78
Waltham,,,8,7,0,1,16
TOTALS,,,117,109,7,59,292
