City/Town,Ward,Pct,"Brian K. Savage","Marianna Gamache",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Sheldon,,,28,27,4,18,77
Swanton,,,115,87,6,66,274
TOTALS,,,143,114,10,84,351
