City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Orange,,,-,3,3,6
Vershire,,,-,0,2,2
Washington,,,-,2,2,4
Williamstown,,,-,1,1,2
TOTALS,,,-,6,8,14
