City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Addison,,,-,0,79,79
Albany,,,-,1,52,53
Alburgh,,,-,19,81,100
Andover,,,-,0,18,18
Arlington,,,-,1,46,47
Athens,,,-,0,13,13
Bakersfield,,,-,2,25,27
Baltimore,,,-,0,6,6
Barnard,,,-,2,40,42
Barnet,,,-,7,183,190
"Barre City",,,-,14,250,264
"Barre Town",,,-,29,275,304
Barton,,,-,10,111,121
Belvidere,,,-,1,10,11
Bennington,-,"Bennington 2-1",-,5,91,96
Bennington,-,"Bennington 2-2",-,6,106,112
Benson,,,-,0,24,24
Berkshire,,,-,3,33,36
Berlin,,,-,6,83,89
Bethel,,,-,4,34,38
Bloomfield,,,-,2,19,21
Bolton,,,-,0,28,28
Bradford,,,-,4,35,39
Braintree,,,-,2,33,35
Brandon,,,-,14,377,391
Brattleboro,-,"Windham 2-1",-,2,24,26
Brattleboro,-,"Windham 2-2",-,3,24,27
Brattleboro,-,"Windham 2-3",-,2,16,18
Bridgewater,,,-,0,18,18
Bridport,,,-,8,44,52
Brighton,,,-,10,189,199
Bristol,,,-,1,64,65
Brookfield,,,-,3,32,35
Brookline,,,-,1,5,6
Brownington,,,-,1,118,119
Brunswick,,,-,1,10,11
Burke,,,-,0,42,42
Burlington,-,"Chittenden 6-1",-,21,291,312
Burlington,-,"Chittenden 6-2",-,4,116,120
Burlington,-,"Chittenden 6-3",-,3,32,35
Burlington,-,"Chittenden 6-4",-,5,30,35
Burlington,-,"Chittenden 6-5",-,6,97,103
Burlington,-,"Chittenden 6-6",-,0,13,13
Burlington,-,"Chittenden 6-7",-,0,1,1
Cabot,,,-,1,24,25
Calais,,,-,2,33,35
Cambridge,,,-,13,64,77
Canaan,,,-,4,69,73
Castleton,,,-,4,172,176
Cavendish,,,-,6,73,79
Charleston,,,-,3,47,50
Charlotte,,,-,3,66,69
Chelsea,,,-,4,52,56
Chester,,,-,1,61,62
Chittenden,,,-,4,41,45
Clarendon,,,-,3,46,49
Colchester,-,"Chittenden 9-1",-,9,139,148
Colchester,-,"Chittenden 9-2",-,3,257,260
Concord,,,-,7,57,64
Corinth,,,-,0,28,28
Cornwall,,,-,4,35,39
Coventry,,,-,10,83,93
Craftsbury,,,-,5,22,27
Danby,,,-,3,48,51
Danville,,,-,7,98,105
Derby,,,-,50,367,417
Dorset,,,-,1,67,68
Dover,,,-,0,22,22
Dummerston,,,-,3,22,25
Duxbury,,,-,4,41,45
"E. Haven",,,-,0,22,22
