City/Town,Ward,Pct,"Lawrence W. Hamel",Write-Ins,Blanks,"Total Votes Cast"
,,,
Hardwick,,,34,2,5,41
Stannard,,,0,4,1,5
Walden,,,16,1,5,22
TOTALS,,,50,7,11,68
