City/Town,Ward,Pct,"Kiah Morris","Joann Erenhouse","Jim Carroll","Brandy J. Reynolds",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,
Bennington,,,239,184,164,154,23,140,904
TOTALS,,,239,184,164,154,23,140,904
