City/Town,Ward,Pct,"Robert Lefebvre",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bradford,,,60,33,0,93
Fairlee,,,31,3,0,34
"W. Fairlee",,,14,1,0,15
TOTALS,,,105,37,0,142
