City/Town,Ward,Pct,"Michael J. Obuchowski","Carolyn W. Partridge",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Athens,,,10,11,0,0,21
Brookline,,,26,28,0,0,54
Grafton,,,38,41,0,0,79
Rockingham,,,334,305,16,0,655
Westminster,,,15,14,0,0,29
Windham,,,27,32,0,0,59
TOTALS,,,450,431,16,0,897
