City/Town,Ward,Pct,"John S. Winters","Kathy Labelle Lavoie",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Sheldon,,,38,39,0,0,77
Swanton,,,107,101,2,0,210
TOTALS,,,145,140,2,0,287
