City/Town,Ward,Pct,"Dave Brown",Write-Ins,Blanks,"Total Votes Cast"
,,,
Hardwick,,,72,1,0,73
Stannard,,,2,0,0,2
Walden,,,26,0,0,26
TOTALS,,,100,1,0,101
