City/Town,Ward,Pct,"Duncan Kilmartin","Michael J. Marcotte","John K. Hall",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Coventry,,,47,76,36,2,0,161
Irasburg,,,62,22,52,9,0,145
"Newport City",,,187,158,147,9,0,501
"Newport Town",,,48,42,39,7,0,136
TOTALS,,,344,298,274,27,0,943
