City/Town,Ward,Pct,"Sylvia R. Kennedy","Philip C. Winters",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Chelsea,,,49,49,1,0,99
Corinth,,,31,28,2,0,61
Orange,,,26,24,0,0,50
Vershire,,,16,11,0,0,27
Washington,,,16,14,0,0,30
Williamstown,,,51,57,3,0,111
TOTALS,,,189,183,6,0,378
