City/Town,Ward,Pct,"Henry L. Holmes",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bethel,,,60,1,0,61
Pittsfield,,,22,0,0,22
Rochester,,,30,13,0,43
Stockbridge,,,12,0,0,12
TOTALS,,,124,14,0,138
