City/Town,Ward,Pct,"Albert J. Perry",Write-Ins,Blanks,"Total Votes Cast"
,,,
Berkshire,,,29,6,0,35
Franklin,,,36,5,0,41
Highgate,,,58,10,0,68
Richford,,,57,3,0,60
TOTALS,,,180,24,0,204
