City/Town,Ward,Pct,"Harry L. Chen",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,53,1,0,54
Chittenden,,,37,2,0,39
Killington,,,29,2,0,31
Mendon,,,49,0,0,49
TOTALS,,,168,5,0,173
