City/Town,Ward,Pct,"Nathan Fitzgerald",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bristol,,,95,83,0,178
Lincoln,,,36,14,0,50
Monkton,,,40,17,0,57
Starksboro,,,25,6,0,31
TOTALS,,,196,120,0,316
