City/Town,Ward,Pct,"Loren T. Shaw","Nancy J. Sheltra",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Brownington,,,16,18,0,0,34
Charleston,,,32,22,1,0,55
Derby,,,121,118,17,0,256
Holland,,,17,19,0,0,36
Morgan,,,22,21,2,0,45
TOTALS,,,208,198,20,0,426
