City/Town,Ward,Pct,"Christine A. Melicharek",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,3,1,0,4
Cambridge,,,58,18,0,76
Waterville,,,17,1,0,18
TOTALS,,,78,20,0,98
