City/Town,Ward,Pct,"Patsy French","Jim Hutchinson",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Braintree,,,43,39,0,0,82
Brookfield,,,88,72,1,0,161
Granville,,,9,1,0,0,10
Randolph,,,216,175,3,0,394
TOTALS,,,356,287,4,0,647
