City/Town,Ward,Pct,"Ann Seibert","Jim Masland",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Norwich,,,425,345,4,0,774
Sharon,,,62,56,2,0,120
Strafford,,,83,76,0,0,159
Thetford,,,133,173,1,0,307
TOTALS,,,703,650,7,0,"1,360"
