City/Town,Ward,Pct,"Ernest W. Shand",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cavendish,,,68,1,0,69
Weathersfield,,,162,4,0,166
TOTALS,,,230,5,0,235
