City/Town,Ward,Pct,"John W. Malcolm","Jesse D. Larson","Jed Rubin",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"Middletown Springs",,,32,72,2,0,0,106
Pawlet,,,110,36,6,1,0,153
Rupert,,,34,7,23,0,0,64
Wells,,,16,47,0,0,0,63
TOTALS,,,192,162,31,1,0,386
