City/Town,Ward,Pct,"Lawrence E. Molloy",Write-Ins,Blanks,"Total Votes Cast"
,,,
Arlington,,,94,4,0,98
Rupert,,,6,0,0,6
Sandgate,,,25,0,0,25
Sunderland,,,28,1,0,29
TOTALS,,,153,5,0,158
