City/Town,Ward,Pct,"Michael Fisher","Dave Sharpe",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bristol,,,171,193,7,0,371
Lincoln,,,146,122,0,0,268
Monkton,,,98,93,0,0,191
Starksboro,,,84,84,0,0,168
TOTALS,,,499,492,7,0,998
