City/Town,Ward,Pct,"Maxine Grad",Write-Ins,Blanks,"Total Votes Cast"
,,,
Moretown,,,57,2,0,59
Northfield,,,139,4,0,143
Roxbury,,,22,7,0,29
TOTALS,,,218,13,0,231
