City/Town,Ward,Pct,"Norman H. McAllister",Write-Ins,Blanks,"Total Votes Cast"
,,,
Berkshire,,,22,3,0,25
Franklin,,,51,6,0,57
Highgate,,,54,3,0,57
Richford,,,31,5,0,36
TOTALS,,,158,17,0,175
