City/Town,Ward,Pct,"Richard J. Marek",Write-Ins,Blanks,"Total Votes Cast"
,,,
Marlboro,,,115,0,0,115
Newfane,,,129,3,0,132
Townshend,,,63,2,0,65
TOTALS,,,307,5,0,312
