City/Town,Ward,Pct,"Michael Reese",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnard,,,56,0,0,56
Hartford,,,50,0,0,50
Pomfret,,,64,0,0,64
TOTALS,,,170,0,0,170
