City/Town,Ward,Pct,"Jeb Spaulding",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,77,0,0,77
Albany,,,36,0,0,36
Alburgh,,,30,0,0,30
Andover,,,33,0,0,33
Arlington,,,88,0,0,88
Athens,,,12,0,0,12
Bakersfield,,,40,0,0,40
Baltimore,,,12,0,0,12
Barnard,,,54,0,0,54
Barnet,,,46,1,0,47
"Barre City",-,"Washington 3-1",125,0,0,125
"Barre City",-,"Washington 3-2",84,0,0,84
"Barre City",-,"Washington 3-3",19,0,0,19
"Barre Town",,,309,0,0,309
Barton,-,"Barton Memorial",63,1,0,64
Barton,-,"Orleans Memorial",28,0,0,28
Belvidere,,,7,0,0,7
Bennington,-,"Bennington 2-1",106,0,0,106
Bennington,-,"Bennington 2-1 Nb",54,0,0,54
Bennington,-,"Bennington 2-2",130,0,0,130
Bennington,-,"Bennington 5",5,0,0,5
Benson,,,31,0,0,31
Berkshire,,,33,1,0,34
Berlin,,,75,0,0,75
Bethel,,,136,0,0,136
Bloomfield,,,7,0,0,7
Bolton,,,50,0,0,50
Bradford,,,302,0,0,302
Braintree,,,42,0,0,42
Brandon,,,204,0,0,204
Brattleboro,-,"Windham 3-1",259,0,0,259
Brattleboro,-,"Windham 3-2",257,1,0,258
Brattleboro,-,"Windham 3-3",293,0,0,293
Bridgewater,,,49,0,0,49
Bridport,,,97,0,0,97
Brighton,,,37,0,0,37
Bristol,,,179,0,0,179
Brookfield,,,86,0,0,86
Brookline,,,25,0,0,25
Brownington,,,28,0,0,28
Brunswick,,,6,0,0,6
Burke,,,27,0,0,27
Burlington,-,"Chittenden 3-1",422,1,0,423
Burlington,-,"Chittenden 3-2",196,2,0,198
Burlington,-,"Chittenden 3-3",243,1,0,244
Burlington,-,"Chittenden 3-4",197,0,0,197
Burlington,-,"Chittenden 3-5",520,3,0,523
Burlington,-,"Chittenden 3-6",76,1,0,77
Cabot,,,67,0,0,67
Calais,,,292,0,0,292
Cambridge,,,76,0,0,76
Canaan,,,23,0,0,23
Castleton,,,52,0,0,52
Cavendish,,,61,0,0,61
Charleston,,,14,0,0,14
Charlotte,,,376,0,0,376
Chelsea,,,43,0,0,43
Chester,,,135,0,0,135
Chittenden,,,31,0,0,31
Clarendon,,,105,0,0,105
Colchester,-,"Chittenden 7-1",120,1,0,121
Colchester,-,"Chittenden 7-2",135,0,0,135
Concord,,,22,0,0,22
Corinth,,,78,0,0,78
Cornwall,,,123,0,0,123
Coventry,,,21,0,0,21
Craftsbury,,,71,1,0,72
Danby,,,84,0,0,84
Danville,,,73,0,0,73
Derby,,,96,0,0,96
Dorset,,,58,0,0,58
Dover,,,35,1,0,36
Dummerston,,,119,0,0,119
Duxbury,,,69,0,0,69
"E. Haven",,,4,0,0,4
"E. Montpelier",,,126,1,0,127
Eden,,,25,0,0,25
Elmore,,,40,0,0,40
Enosburgh,,,79,0,0,79
Essex,-,"Chittenden 6-1",187,0,0,187
Essex,-,"Chittenden 6-2",237,0,0,237
Essex,-,"Chittenden 6-3",79,0,0,79
"Fair Haven",,,53,0,0,53
Fairfax,,,103,1,0,104
Fairfield,,,68,0,0,68
Fairlee,,,80,0,0,80
Fayston,,,46,1,0,47
Ferrisburgh,,,132,0,0,132
Fletcher,,,24,0,0,24
Franklin,,,35,0,0,35
Georgia,,,66,0,0,66
Glover,,,38,0,0,38
Goshen,,,31,0,0,31
Grafton,,,38,0,0,38
Granby,,,1,0,0,1
"Grand Isle",,,88,0,0,88
Granville,,,9,0,0,9
Greensboro,,,65,1,0,66
Groton,,,29,0,0,29
Guildhall,,,6,0,0,6
Guilford,,,117,0,0,117
Halifax,,,25,0,0,25
Hancock,,,12,0,0,12
Hardwick,,,147,0,0,147
Hartford,-,"Windsor 6-1",48,0,0,48
Hartford,-,"Windsor 6-2",220,1,0,221
Hartland,,,162,0,0,162
Highgate,,,65,0,0,65
Hinesburg,-,"Chittenden 1-1",184,0,0,184
Hinesburg,-,"Chittenden 1-2",12,0,0,12
Holland,,,12,0,0,12
Hubbardton,,,11,0,0,11
Huntington,,,109,0,0,109
"Hyde Park",,,81,0,0,81
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",5,0,0,5
Irasburg,,,51,0,0,51
"Isle La Motte",,,33,0,0,33
Jamaica,,,27,0,0,27
Jay,,,11,0,0,11
Jericho,,,212,0,0,212
Johnson,,,78,0,0,78
Killington,,,27,1,0,28
Kirby,,,9,0,0,9
Landgrove,,,13,0,0,13
Leicester,,,47,0,0,47
Lemington,,,1,0,0,1
Lincoln,,,133,0,0,133
Londonderry,,,45,0,0,45
Lowell,,,27,0,0,27
Ludlow,,,90,1,0,91
Lunenburg,,,20,0,0,20
Lyndon,,,84,1,0,85
Maidstone,,,3,0,0,3
Manchester,,,127,1,0,128
Marlboro,,,115,0,0,115
Marshfield,,,118,1,0,119
Mendon,,,52,0,0,52
Middlebury,,,422,0,0,422
Middlesex,,,77,0,0,77
"Middletown Springs",,,85,0,0,85
Milton,-,"Chittenden 9",250,0,0,250
Milton,-,"Grand Isle-Chittenden 1-1",37,0,0,37
Monkton,,,99,0,0,99
Montgomery,,,48,0,0,48
Montpelier,,,644,1,0,645
Moretown,,,56,0,0,56
Morgan,,,18,0,0,18
Morristown,,,126,0,0,126
"Mount Holly",,,55,0,0,55
"Mount Tabor",,,7,0,0,7
"New Haven",,,287,0,0,287
Newark,,,14,0,0,14
Newbury,-,"Center Town House",13,0,0,13
Newbury,-,"Town Office",85,0,0,85
Newbury,-,"West River Village",28,0,0,28
Newfane,,,120,0,0,120
"Newport City",,,108,0,0,108
"Newport Town",,,46,0,0,46
"N. Hero",,,30,0,0,30
Northfield,,,141,0,0,141
Norton,,,5,0,0,5
Norwich,,,386,1,0,387
Orange,,,13,0,0,13
Orwell,,,53,0,0,53
Panton,,,38,0,0,38
Pawlet,,,120,0,0,120
Peacham,,,59,0,0,59
Peru,,,25,0,0,25
Pittsfield,,,18,0,0,18
Pittsford,,,71,0,0,71
Plainfield,,,128,0,0,128
Plymouth,,,13,0,0,13
Pomfret,,,60,0,0,60
Poultney,,,49,0,0,49
Pownal,,,114,0,0,114
Proctor,,,46,0,0,46
Putney,,,188,0,0,188
Randolph,,,225,0,0,225
Reading,,,53,0,0,53
Readsboro,,,24,0,0,24
Richford,,,55,0,0,55
Richmond,,,205,0,0,205
Ripton,,,66,0,0,66
Rochester,,,110,1,0,111
Rockingham,,,313,0,0,313
Roxbury,,,21,0,0,21
Royalton,,,137,0,0,137
Rupert,,,49,0,0,49
"Rutland City",-,"Rutland 5-1",144,0,0,144
"Rutland City",-,"Rutland 5-2",107,0,0,107
"Rutland City",-,"Rutland 5-3",61,1,0,62
"Rutland City",-,"Rutland 5-4",83,0,0,83
"Rutland Town",,,145,0,0,145
Ryegate,,,39,0,0,39
Salisbury,,,66,0,0,66
Sandgate,,,24,0,0,24
Searsburg,,,3,0,0,3
Shaftsbury,,,161,1,0,162
Sharon,,,70,1,0,71
Sheffield,,,23,0,0,23
Shelburne,-,"Chittenden 5-1",260,0,0,260
Shelburne,-,"Chittenden 5-2",133,1,0,134
Sheldon,,,45,0,0,45
Shoreham,,,72,0,0,72
Shrewsbury,,,61,0,0,61
"S. Burlington",-,"Chittenden 3-10",137,0,0,137
"S. Burlington",-,"Chittenden 3-7",231,0,0,231
"S. Burlington",-,"Chittenden 3-8",220,1,0,221
"S. Burlington",-,"Chittenden 3-9",154,0,0,154
"S. Hero",,,108,0,0,108
Springfield,-,"Windsor 1-1",4,0,0,4
Springfield,-,"Windsor 1-2",331,0,0,331
"St. Albans City",,,189,3,0,192
"St. Albans Town",,,108,0,0,108
"St. George",,,21,0,0,21
"St. Johnsbury",,,137,0,0,137
Stamford,,,28,0,0,28
Stannard,,,17,0,0,17
Starksboro,,,81,0,0,81
Stockbridge,,,59,0,0,59
Stowe,,,124,0,0,124
Strafford,,,87,0,0,87
Stratton,,,5,0,0,5
Sudbury,,,27,0,0,27
Sunderland,,,28,0,0,28
Sutton,,,21,0,0,21
Swanton,,,124,0,0,124
Thetford,,,160,0,0,160
Tinmouth,,,40,0,0,40
Topsham,,,27,0,0,27
Townshend,,,64,1,0,65
Troy,,,32,0,0,32
Tunbridge,,,52,0,0,52
Underhill,,,254,0,0,254
Vergennes,,,113,0,0,113
Vernon,,,67,0,0,67
Vershire,,,30,0,0,30
Victory,,,5,1,0,6
Waitsfield,,,98,0,0,98
Walden,,,47,0,0,47
Wallingford,,,57,0,0,57
Waltham,,,37,0,0,37
Wardsboro,,,24,0,0,24
Warren,,,80,0,0,80
Washington,,,34,0,0,34
Waterbury,,,239,1,0,240
Waterford,,,24,0,0,24
Waterville,,,18,0,0,18
Weathersfield,,,165,0,0,165
Wells,,,42,0,0,42
"W. Fairlee",,,62,0,0,62
"W. Haven",,,5,0,0,5
"W. Rutland",,,36,0,0,36
"W. Windsor",,,50,0,0,50
Westfield,,,18,0,0,18
Westford,,,58,0,0,58
Westminster,-,Windham-4,14,0,0,14
Westminster,-,Windham-5,224,0,0,224
Westmore,,,21,0,0,21
Weston,,,39,1,0,40
Weybridge,,,83,0,0,83
Wheelock,,,20,0,0,20
Whiting,,,23,0,0,23
Whitingham,,,36,0,0,36
Williamstown,,,65,0,0,65
Williston,,,318,1,0,319
Wilmington,,,53,0,0,53
Windham,,,31,0,0,31
Windsor,,,202,0,0,202
Winhall,,,32,0,0,32
Winooski,,,216,0,0,216
Wolcott,,,56,0,0,56
Woodbury,,,59,0,0,59
Woodford,,,20,0,0,20
Woodstock,,,204,0,0,204
Worcester,,,62,0,0,62
TOTALS,,,"24,730",41,0,"24,771"
