City/Town,Ward,Pct,"Stephen W. Webster","Ed Stokes",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Braintree,,,28,19,2,0,49
Brookfield,,,24,15,1,0,40
Granville,,,4,2,0,0,6
Randolph,,,102,73,4,0,179
TOTALS,,,158,109,7,0,274
