City/Town,Ward,Pct,"Larry Drown","Bernie Sanders",Write-Ins,Blanks,"Total Votes Cast"
"N. Hero",,,20,3,0,0,23
Northfield,,,28,20,9,0,57
Norton,,,1,0,0,0,1
Norwich,,,264,31,11,0,306
Orange,,,7,2,0,0,9
Orwell,,,29,6,4,0,39
Panton,,,24,5,2,0,31
Pawlet,,,81,4,3,0,88
Peacham,,,37,4,0,0,41
Peru,,,11,4,0,0,15
Pittsfield,,,12,0,1,0,13
Pittsford,,,48,8,0,0,56
Plainfield,,,57,13,0,0,70
Plymouth,,,6,4,0,0,10
Pomfret,,,30,0,7,0,37
Poultney,,,30,0,2,0,32
Pownal,,,86,15,1,0,102
Proctor,,,29,4,0,0,33
Putney,,,114,18,1,0,133
Randolph,,,131,21,4,0,156
Reading,,,37,1,0,0,38
Readsboro,,,21,1,0,0,22
Richford,,,43,5,1,0,49
Richmond,,,110,15,0,0,125
Ripton,,,33,5,1,0,39
Rochester,,,66,16,8,0,90
Rockingham,,,214,24,8,0,246
Roxbury,,,2,0,8,0,10
Royalton,,,88,13,0,0,101
Rupert,,,38,2,1,0,41
"Rutland City",-,"Rutland 5-1",88,4,3,0,95
"Rutland City",-,"Rutland 5-2",60,19,1,0,80
"Rutland City",-,"Rutland 5-3",42,3,5,0,50
"Rutland City",-,"Rutland 5-4",54,4,0,0,58
"Rutland Town",,,101,6,6,0,113
Ryegate,,,21,8,1,0,30
Salisbury,,,36,8,0,0,44
Sandgate,,,20,2,0,0,22
Searsburg,,,5,0,0,0,5
Shaftsbury,,,108,17,2,0,127
Sharon,,,45,3,2,0,50
Sheffield,,,14,2,0,0,16
Shelburne,-,"Chittenden 5-1",156,16,1,0,173
Shelburne,-,"Chittenden 5-2",63,11,4,0,78
Sheldon,,,31,0,1,0,32
Shoreham,,,51,5,0,0,56
Shrewsbury,,,30,13,0,0,43
"S. Burlington",-,"Chittenden 3-10",78,0,6,0,84
"S. Burlington",-,"Chittenden 3-7",115,17,3,0,135
"S. Burlington",-,"Chittenden 3-8",122,15,1,0,138
"S. Burlington",-,"Chittenden 3-9",96,6,0,0,102
"S. Hero",,,58,9,0,0,67
Springfield,-,"Windsor 1-1",2,0,0,0,2
Springfield,-,"Windsor 1-2",247,18,2,0,267
"St. Albans City",,,119,19,1,0,139
"St. Albans Town",,,68,4,5,0,77
"St. George",,,14,1,0,0,15
"St. Johnsbury",,,87,11,4,0,102
Stamford,,,20,6,0,0,26
Stannard,,,10,5,0,0,15
Starksboro,,,54,7,0,0,61
Stockbridge,,,43,1,1,0,45
Stowe,,,63,6,1,0,70
Strafford,,,53,10,1,0,64
Stratton,,,2,1,0,0,3
Sudbury,,,16,1,0,0,17
Sunderland,,,20,2,0,0,22
Sutton,,,16,1,0,0,17
Swanton,,,78,3,2,0,83
Thetford,,,113,16,0,0,129
Tinmouth,,,24,4,0,0,28
Topsham,,,12,4,0,0,16
Townshend,,,42,8,3,0,53
Troy,,,19,4,0,0,23
Tunbridge,,,37,1,0,0,38
Underhill,,,160,10,2,0,172
Vergennes,,,67,8,8,0,83
Vernon,,,48,1,1,0,50
Vershire,,,19,2,1,0,22
Victory,,,5,0,0,0,5
Waitsfield,,,48,11,1,0,60
Walden,,,32,5,1,0,38
Wallingford,,,33,8,0,0,41
Waltham,,,16,4,1,0,21
Wardsboro,,,16,2,2,0,20
Warren,,,41,12,2,0,55
Washington,,,23,0,0,0,23
Waterbury,,,117,20,6,0,143
Waterford,,,16,0,0,0,16
Waterville,,,9,4,1,0,14
Weathersfield,,,104,16,1,0,121
Wells,,,37,0,0,0,37
"W. Fairlee",,,47,1,0,0,48
"W. Haven",,,1,2,0,0,3
"W. Rutland",,,23,2,0,0,25
"W. Windsor",,,38,5,0,0,43
Westfield,,,11,5,2,0,18
Westford,,,31,6,0,0,37
Westminster,-,Windham-4,10,1,0,0,11
Westminster,-,Windham-5,146,23,4,0,173
Westmore,,,10,3,0,0,13
Weston,,,21,6,1,0,28
Weybridge,,,39,11,0,0,50
Wheelock,,,10,3,0,0,13
Whiting,,,16,4,1,0,21
Whitingham,,,27,6,0,0,33
