City/Town,Ward,Pct,"Linda J. Martin",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Hyde Park",,,76,2,0,78
Wolcott,,,62,1,0,63
TOTALS,,,138,3,0,141
