City/Town,Ward,Pct,"Kenneth Hamelin",Write-Ins,Blanks,"Total Votes Cast"
,,,
Jay,,,6,1,0,7
Lowell,,,13,3,0,16
Montgomery,,,10,0,0,10
Troy,,,17,2,0,19
Westfield,,,7,1,0,8
TOTALS,,,53,7,0,60
