City/Town,Ward,Pct,"Kathy Pellett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Andover,,,33,0,0,33
Baltimore,,,11,1,0,12
Chester,,,136,3,0,139
Springfield,,,4,0,0,4
TOTALS,,,184,4,0,188
