City/Town,Ward,Pct,"Howard Dean","John F. Kerry","John Edwards","Dennis Kucinich","Wesley Clark","Lyndon H. Larouche, Jr",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Lemington,,,2,7,1,0,0,0,0,0,0,10
Lincoln,,,165,62,13,45,8,1,3,0,0,297
Londonderry,,,51,45,15,3,5,0,1,0,0,120
Lowell,,,31,41,6,2,4,2,0,0,0,89
Ludlow,,,165,217,25,14,21,4,10,0,0,461
Lunenburg,,,39,48,14,1,11,3,1,0,0,108
Lyndon,,,147,92,25,9,14,5,0,0,0,298
Maidstone,,,4,5,8,0,1,0,0,0,0,18
Manchester,,,123,194,37,7,9,1,7,0,0,378
Marlboro,,,173,31,8,18,6,0,1,0,0,238
Marshfield,,,118,37,10,31,3,0,2,0,0,202
Mendon,,,62,46,9,5,3,4,2,0,0,132
Middlebury,,,608,263,66,37,25,7,6,0,0,"1,021"
Middlesex,,,240,73,21,31,8,1,1,0,0,379
"Middletown Springs",,,80,59,13,11,2,0,2,0,0,167
Milton,,,469,301,79,21,41,3,14,0,0,930
Monkton,,,181,73,19,18,11,2,2,0,0,310
Montgomery,,,58,33,12,6,6,0,0,0,0,115
Montpelier,,,"1,490",468,107,174,50,9,27,0,0,"2,343"
Moretown,,,190,80,15,16,13,1,4,0,0,325
Morgan,,,29,26,6,1,1,0,3,0,0,66
Morristown,,,383,169,41,15,15,1,3,0,0,633
"Mount Holly",,,79,93,17,10,9,1,1,0,0,211
"Mount Tabor",,,10,9,0,1,3,0,0,0,0,23
"New Haven",,,187,84,14,20,10,7,5,0,0,333
Newark,,,33,15,2,1,0,0,0,0,0,53
Newbury,,,107,43,14,6,4,1,4,0,0,180
Newfane,,,179,80,18,19,16,1,6,0,0,319
"Newport City",,,189,176,10,12,16,0,4,0,0,417
"Newport Town",,,51,56,16,1,11,1,1,0,0,138
"N. Hero",,,55,47,12,2,8,2,1,0,0,129
Northfield,,,398,251,39,14,38,4,6,0,0,761
Norton,,,2,10,1,0,2,0,0,0,0,14
Norwich,,,661,405,57,64,15,4,5,0,0,"1,158"
Orange,,,23,35,3,1,1,0,1,0,0,64
Orwell,,,97,52,12,10,4,1,1,0,0,177
Panton,,,64,24,2,3,3,0,0,0,0,96
Pawlet,,,197,80,0,5,0,0,0,0,0,282
Peacham,,,97,30,14,8,3,0,0,0,0,152
Peru,,,14,29,6,0,2,0,0,0,0,52
Pittsfield,,,16,17,5,1,3,1,1,0,0,44
Pittsford,,,156,97,28,10,10,1,3,0,0,308
Plainfield,,,107,51,19,33,10,0,2,0,0,223
Plymouth,,,27,57,8,8,7,1,0,0,0,157
Pomfret,,,88,45,12,8,6,0,0,0,0,159
Poultney,,,149,148,17,22,11,1,3,0,0,353
Pownal,,,107,203,24,8,15,2,0,0,0,364
Proctor,,,93,60,12,0,6,0,2,0,0,176
Putney,,,286,132,25,52,19,1,1,0,0,517
Randolph,,,326,159,46,28,17,2,1,0,0,584
Reading,,,37,43,5,1,0,1,1,0,0,88
Readsboro,,,43,107,12,5,5,0,1,0,0,176
Richford,,,108,123,18,8,13,1,1,0,0,272
Richmond,,,486,174,36,31,24,5,1,0,0,760
Ripton,,,82,36,6,9,1,0,0,0,0,134
Rochester,,,87,26,10,15,3,1,1,0,0,143
Rockingham,,,439,282,47,37,24,8,0,0,0,845
Roxbury,,,61,43,11,3,1,0,0,0,0,120
Royalton,,,139,117,35,17,7,1,3,0,0,323
Rupert,,,45,53,13,4,0,1,1,0,0,121
"Rutland City",-,"Rutland 5-1",219,128,0,8,11,0,0,0,0,366
"Rutland City",-,"Rutland 5-2",131,101,0,10,11,0,0,0,0,253
"Rutland City",-,"Rutland 5-3",239,156,0,5,15,0,0,0,0,415
"Rutland City",-,"Rutland 5-4",314,173,0,9,13,0,0,0,0,509
"Rutland Town",,,240,237,42,13,32,2,5,0,0,578
Ryegate,,,47,36,7,3,2,0,0,0,0,95
Salisbury,,,123,81,6,6,16,3,2,0,0,231
Sandgate,,,17,24,4,3,1,0,0,0,0,50
Searsburg,,,2,22,1,0,2,0,0,0,0,27
Shaftsbury,,,271,300,60,13,37,2,7,0,0,694
Sharon,,,110,44,14,16,4,0,1,0,0,189
Sheffield,,,19,13,5,3,1,0,0,0,0,41
Shelburne,,,968,430,80,29,34,13,13,0,0,"1,567"
Sheldon,,,61,47,11,4,5,0,2,0,0,133
Shoreham,,,119,55,9,4,5,5,0,0,0,200
Shrewsbury,,,155,109,18,6,10,1,1,0,0,301
"S. Burlington",-,"Chittenden 3-10",191,85,20,11,10,1,3,0,0,322
"S. Burlington",-,"Chittenden 3-7",268,98,44,15,14,2,2,0,0,447
"S. Burlington",-,"Chittenden 3-8",325,105,31,11,12,1,2,0,0,491
"S. Burlington",-,"Chittenden 3-9",306,106,30,18,4,0,7,0,0,474
"S. Hero",,,201,111,21,9,11,2,1,0,0,361
Springfield,,,647,442,88,25,44,10,11,0,0,"1,276"
"St. Albans City",,,459,325,73,17,40,4,8,0,0,929
"St. Albans Town",,,328,302,61,9,44,1,2,0,0,761
"St. George",,,48,18,6,1,0,0,0,0,0,74
"St. Johnsbury",,,285,173,39,23,14,2,5,0,0,546
Stamford,,,42,83,11,4,1,0,0,0,0,142
Stannard,,,21,5,3,1,1,0,1,0,0,32
Starksboro,,,165,61,17,12,12,1,1,0,0,269
Stockbridge,,,30,15,3,2,2,0,1,0,0,53
Stowe,,,431,294,44,24,21,2,3,0,0,829
Strafford,,,139,42,6,21,1,0,0,0,0,209
Stratton,,,4,9,2,1,1,0,0,0,0,17
Sudbury,,,49,31,7,4,9,1,1,0,0,102
Sunderland,,,53,68,15,2,6,0,0,0,0,145
Sutton,,,35,13,7,1,1,0,0,0,0,57
Swanton,,,257,269,58,12,35,4,8,0,0,657
Thetford,,,373,167,35,36,8,1,2,0,0,626
Tinmouth,,,40,26,2,3,4,2,1,0,0,78
Topsham,,,24,26,2,3,3,0,0,0,0,58
Townshend,,,65,47,5,4,1,0,1,0,0,126
Troy,,,30,24,6,1,2,0,1,0,0,65
Tunbridge,,,79,29,10,8,4,0,2,0,0,132
Underhill,,,411,156,36,13,34,4,7,0,0,668
Vergennes,,,203,110,26,9,12,6,1,0,0,372
Vernon,,,106,156,28,4,19,1,5,0,0,322
Vershire,,,56,34,5,5,2,0,0,0,0,103
Victory,,,5,2,0,0,4,0,0,0,0,11
Waitsfield,,,228,118,19,15,20,1,4,0,0,410
Walden,,,94,49,6,10,7,0,2,0,0,169
Wallingford,,,127,99,19,9,18,1,2,0,0,277
Waltham,,,46,22,8,4,3,0,0,0,0,84
Wardsboro,,,32,24,2,7,0,0,0,0,0,65
Warren,,,176,108,27,16,4,0,4,0,0,335
Washington,,,44,51,11,4,8,3,1,0,0,123
Waterbury,,,440,183,0,14,18,7,38,0,0,706
Waterford,,,52,37,8,5,7,1,1,0,0,113
Waterville,,,35,13,2,0,2,0,0,0,0,52
Weathersfield,,,195,136,25,20,17,1,1,0,0,385
Wells,,,36,66,12,9,1,2,0,0,0,129
"W. Fairlee",,,53,41,14,5,5,0,0,0,0,119
"W. Haven",,,17,5,0,1,1,0,0,0,0,24
"W. Rutland",,,101,104,20,5,13,1,2,0,0,250
"W. Windsor",,,69,52,5,3,0,0,1,0,0,130
Westfield,,,19,22,5,3,0,0,0,0,0,49
Westford,,,162,79,28,10,14,1,2,0,0,297
Westminster,,,330,152,34,31,14,1,0,0,0,568
Westmore,,,18,19,5,3,2,0,0,0,0,46
Weston,,,55,45,8,6,3,0,1,0,0,118
Weybridge,,,111,51,12,9,5,1,0,0,0,189
Wheelock,,,18,17,3,4,2,1,0,0,0,45
Whiting,,,30,28,3,0,3,0,0,0,0,65
Whitingham,,,48,77,12,4,9,0,1,0,0,151
Williamstown,,,179,133,21,4,17,3,4,0,0,362
Williston,,,913,440,90,36,44,4,10,0,0,"1,549"
Wilmington,,,90,182,39,17,29,3,7,0,0,378
Windham,,,23,24,1,5,1,0,0,0,0,54
Windsor,,,348,278,38,21,22,2,7,0,0,732
Winhall,,,15,45,9,3,0,0,0,0,0,37
Winooski,,,336,195,19,28,20,1,3,0,0,615
Wolcott,,,66,24,11,6,0,0,1,0,0,108
Woodbury,,,63,32,4,17,2,0,3,0,0,121
Woodford,,,17,33,2,3,4,1,0,0,0,60
Woodstock,,,288,233,56,25,12,3,5,0,0,622
Worcester,,,126,43,13,9,6,0,0,0,0,198
TOTALS,,,"44,393","26,171","5,113","3,396","2,749",386,673,0,0,"83,116"
