City/Town,Ward,Pct,"Cola H. Hudson","Richard Lawrence",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burke,,,37,35,0,0,72
Lyndon,,,102,103,3,0,208
Sutton,,,20,21,0,0,41
TOTALS,,,159,159,3,0,321
