City/Town,Ward,Pct,"Kevin N. Lawrence",Write-Ins,Blanks,"Total Votes Cast"
,,,
Groton,,,27,1,0,28
Newbury,-,"Center Town House",15,0,0,15
Newbury,-,"Town Office",95,3,0,98
Newbury,-,"West River Village",30,2,0,32
Topsham,,,25,1,0,26
TOTALS,,,192,7,0,199
