City/Town,Ward,Pct,"Connie T. Houston","Gregory Clark",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,43,42,1,0,86
Ferrisburgh,,,97,86,0,0,183
Panton,,,24,21,1,0,46
Vergennes,,,53,60,4,0,117
Waltham,,,11,12,1,0,24
TOTALS,,,228,221,7,0,456
