City/Town,Ward,Pct,"Julie Ann Thayer","Bob Bland","John H. Taylor",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Chelsea,,,26,19,21,0,0,66
Corinth,,,59,49,31,1,0,140
Orange,,,8,6,5,4,0,23
Vershire,,,27,23,15,0,0,65
Washington,,,16,21,11,2,0,50
Williamstown,,,47,22,46,3,0,118
TOTALS,,,183,140,129,10,0,462
