City/Town,Ward,Pct,"Dave Potter",Write-Ins,Blanks,"Total Votes Cast"
,,,
Clarendon,,,110,25,0,135
Ira,,,5,1,0,6
Proctor,,,44,17,0,61
"W. Rutland",,,38,9,0,47
TOTALS,,,197,52,0,249
