City/Town,Ward,Pct,"George Bilodeau","Bob Shea",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fairfax,,,83,57,7,0,147
Georgia,,,68,38,5,0,111
TOTALS,,,151,95,12,0,258
