City/Town,Ward,Pct,"Harvey Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridport,,,67,0,0,67
"New Haven",,,255,2,0,257
Weybridge,,,23,0,0,23
TOTALS,,,345,2,0,347
