City/Town,Ward,Pct,"Gaye Symington","William Frank",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,,,39,29,0,0,68
Jericho,,,224,194,1,0,419
Underhill,,,291,254,1,0,546
TOTALS,,,554,477,2,0,"1,033"
