City/Town,Ward,Pct,"Barry Isaacs","Frederick R. Messer","Ira M. Pike",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Bridgewater,,,25,0,12,1,0,38
Chittenden,,,23,0,9,1,0,33
Fayston,,,0,14,0,0,0,14
Killington,,,25,0,6,0,0,31
Mendon,,,58,0,10,1,0,69
Waitsfield,,,0,63,0,1,0,64
Warren,,,0,24,0,2,0,26
TOTALS,,,131,101,37,6,0,275
