City/Town,Ward,Pct,"Anthony Paino",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnard,,,22,1,0,23
Hartford,,,22,0,0,22
Pomfret,,,24,2,0,26
TOTALS,,,68,3,0,71
