City/Town,Ward,Pct,"Craig Bensen",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,15,1,0,16
Cambridge,,,39,8,0,47
Elmore,,,25,2,0,27
"Hyde Park",,,35,5,0,40
Johnson,,,52,0,0,52
Morristown,,,59,7,0,66
Stowe,,,50,0,0,50
Waterville,,,32,0,0,32
TOTALS,,,307,23,0,330
