City/Town,Ward,Pct,"Edith Bell-Brown","Karen Budde",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burke,,,18,21,0,0,39
Lyndon,,,71,66,10,0,147
Sutton,,,17,19,0,0,36
TOTALS,,,106,106,10,0,222
